shop_id,city_code,city_coord_1,city_coord_2,country_part
0,29,62.028098,129.732555,4
1,29,62.028098,129.732555,4
2,0,44.609764,40.100516,3
3,1,55.80945,37.95806,1
4,2,53.43058,50.119,3
5,3,59.2239,39.88398,2
6,4,51.67204,39.1843,3
7,4,51.67204,39.1843,3
8,4,51.67204,39.1843,3
9,5,0.0,0.0,0
10,6,55.59528,38.12028,1
11,6,55.59528,38.12028,1
12,7,0.0,0.0,0
13,8,55.78874,49.12214,4
14,8,55.78874,49.12214,4
15,9,54.5293,36.27542,4
16,10,55.07944,38.77833,4
17,11,56.01839,92.86717,4
18,11,56.01839,92.86717,4
19,12,51.73733,36.18735,3
20,13,55.75222,37.61556,1
21,13,55.75222,37.61556,1
22,13,55.75222,37.61556,1
23,13,55.75222,37.61556,1
24,13,55.75222,37.61556,1
25,13,55.75222,37.61556,1
26,13,55.75222,37.61556,1
27,13,55.75222,37.61556,1
28,13,55.75222,37.61556,1
29,13,55.75222,37.61556,1
30,13,55.75222,37.61556,1
31,13,55.75222,37.61556,1
32,13,55.75222,37.61556,1
33,14,55.91163,37.73076,1
34,15,56.32867,44.00205,4
35,15,56.32867,44.00205,4
36,16,55.0415,82.9346,4
37,16,55.0415,82.9346,4
38,17,54.99244,73.36859,4
39,18,47.23135,39.72328,3
40,18,47.23135,39.72328,3
41,18,47.23135,39.72328,3
42,21,59.93863,30.31413,2
43,21,59.93863,30.31413,2
44,19,53.20007,50.15,4
45,19,53.20007,50.15,4
46,20,56.3,38.13333,4
47,22,61.25,73.41667,4
48,23,56.49771,84.97437,4
49,24,57.15222,65.52722,4
50,24,57.15222,65.52722,4
51,24,57.15222,65.52722,4
52,25,54.74306,55.96779,4
53,25,54.74306,55.96779,4
54,26,55.89704,37.42969,1
55,27,0.0,0.0,0
56,28,55.1477,37.47728,4
57,29,62.028098,129.732555,4
58,29,62.028098,129.732555,4
59,30,57.62987,39.87368,2
